City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,ruelle-sur-touvre,45.6833,0.2333,12.990000000000009,100,100,3.09,FR,1706971989
69,coquimbo,-29.9533,-71.3436,20.850000000000023,73,20,4.12,CL,1706971989
70,kenora,49.8167,-94.4337,-5.4599999999999795,100,0,3.09,CA,1706971705
71,tolanaro,-25.0319,46.9987,28.04000000000002,69,40,8.23,MG,1706971990
72,nawabganj,24.5911,88.271,17.629999999999995,29,0,3.07,BD,1706971818
73,ketchikan,55.3422,-131.6461,0.9900000000000091,86,75,1.54,US,1706971990
74,salekhard,66.53,66.6019,-26.74999999999997,100,99,0.47,RU,1706971991
75,camalu,30.85,-116.0667,12.189999999999998,65,38,2.01,MX,1706971991
76,mata-utu,-13.2816,-176.1745,26.210000000000036,94,100,8.24,WF,1706971720
77,lorengau,-2.0226,147.2712,27.710000000000036,78,27,2.24,PG,1706971991
78,bonthe,7.5264,-12.505,31.450000000000045,53,0,6.17,SL,1706971992
79,ilulissat,69.2167,-51.1,-20.98999999999998,49,0,6.69,GL,1706971992
80,wailua homesteads,22.0669,-159.378,20.439999999999998,59,100,10.29,US,1706971992
81,luanda,-8.8368,13.2343,32.0,58,40,5.14,AO,1706971992
82,quemado de guines,22.7853,-80.2536,18.120000000000005,56,0,3.29,CU,1706971993
83,tidjikja,18.5564,-11.4271,28.090000000000032,7,0,6.92,MR,1706971993
84,khorugh,37.4897,71.553,-1.6399999999999864,94,100,2.29,TJ,1706971993
85,fortuna,40.5982,-124.1573,6.480000000000018,95,100,4.12,US,1706971993
86,bengkulu,-3.8004,102.2655,24.560000000000002,91,99,2.0,ID,1706971993
87,walvis bay,-22.9575,14.5053,26.53000000000003,61,0,2.57,,1706971994
88,codrington,-38.2667,141.9667,15.080000000000041,94,26,1.47,AU,1706971994
89,tazovsky,67.4667,78.7,-15.139999999999986,94,100,3.01,RU,1706971994
90,campbell river,50.0163,-125.2446,5.25,100,75,3.09,CA,1706971994
91,suphan buri,14.4742,100.1222,27.129999999999995,71,12,4.4,TH,1706971995
92,williams lake,52.1415,-122.1445,-0.23999999999995225,59,0,7.2,CA,1706971995
93,minas de marcona,-15.2119,-75.1103,21.629999999999995,67,66,2.97,PE,1706971995
94,avarua,-21.2078,-159.775,25.03000000000003,94,40,2.57,CK,1706971995
95,qaqortoq,60.7167,-46.0333,-18.18999999999997,71,5,3.57,GL,1706971996
96,dakhla,23.6848,-15.958,28.010000000000048,15,93,4.12,EH,1706971996
97,ta`u,-14.2336,-169.5144,27.910000000000025,82,100,5.72,AS,1706971996
98,usinsk,65.9939,57.5281,-19.879999999999967,95,92,2.34,RU,1706971996
99,jwaneng,-24.6004,24.7303,31.810000000000002,20,78,2.55,BW,1706971997
100,shizilu,35.1711,118.8289,-2.909999999999968,64,92,4.19,CN,1706971997
101,mayfield,36.7417,-88.6367,8.900000000000034,81,6,5.04,US,1706971764
102,port mathurin,-19.6833,63.4167,26.910000000000025,73,20,7.48,MU,1706971997
103,al qadarif,14.0349,35.3834,28.670000000000016,13,36,6.01,SD,1706971998
104,dolinsk,47.35,142.8,-14.039999999999964,92,45,1.68,RU,1706971998
105,lata,40.1629,-8.3327,19.910000000000025,43,8,0.65,PT,1706971998
106,nabire,-3.3667,135.4833,25.100000000000023,92,100,1.29,ID,1706971998
107,gaspe,48.8334,-64.4819,-8.049999999999955,85,20,3.09,CA,1706971998
108,kirensk,57.7853,108.1119,-28.349999999999966,100,50,0.45,RU,1706971999
109,aasiaat,68.7098,-52.8699,-30.269999999999982,98,40,2.64,GL,1706971999
